観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
篠津須賀神社,白岡町,篠津1834,白岡町篠津の字「宿」の鎮守です。毎年７月におこなわれる「篠津の天王様」は当社の祭礼で、その神輿は町の指定文化財になっています。明治時代にいったん久伊豆神社に合祀されましたが、元に戻した経緯がありました。篠津の天王様は、毎年７月の第３日曜日におこなわれ、５台の山車を組み立てて飾り付け、各耕地を巡行します。,＊＊＊,＊＊＊,＊＊＊,＊＊＊,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shinodusukajinnjya.htm
篠津久伊豆神社,白岡町,篠津1798,１１４２年創建の古刹で、現在の社殿は１８５０年代に完成したものです。「天の岩戸」「源頼政御殿」「三韓征統」「牡丹に獅子」「波に鯛」の彫刻が拝殿の三面に施されており、町の指定文化財になっています。彫刻は彦根藩家臣の家から江戸の仏師の養子になった立川音芳の作と伝えられています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shinoduhisaizujinnjya.htm
柴山諏訪八幡神社,白岡町,柴山1021,菖蒲城主、佐々木源四郎秀綱の創建と伝えられています。佐々木氏は、宇多源氏の末裔と言われ、源氏の氏神である諏訪社と八幡社を勧請しています。社殿は本殿、幣殿、拝殿から成り立っており、拝殿の中には江戸後期以降の絵馬や掲額が数多く残され、江戸後期以降のもので町の指定文化財になっています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shibayamasuwahachimannjinnjya.htm
寿楽院,白岡町,小久喜49,白岡町小久喜にある曹洞宗の寺院です。興善寺の末寺で、元亀２年（１５７１年）の創建と伝えられており、今までに２回焼失したとされています。境内には薬師堂があり、墓地には小久喜の旧家である鬼久保家の墓所があります。鬼久保家は「福は内、鬼はご随意に」という掛け声の節分の豆まきでも知られ、今日でも続いています。,0480-92-3421（寿楽院）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/jurakuin.html
青雲寺,白岡町,篠津672,空海を祖とする真言宗の宗派の一つ、新義真言宗の寺院です。戸ヶ崎村（旧菖蒲町）吉祥院の末寺で、本尊は不動明王です。境内には薬師堂、太子堂があるほか、阿弥陀堂、観音堂、地蔵堂などを併存しています。,0480-92-2630（青雲寺）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shouunji.html
正傳寺,白岡町,上野田328,曹洞宗の寺院で、開基は岩槻城主太田十郎氏房と伝えられています。本尊は釈迦如来で、本尊と太子堂、「開山様」が祀られています。「開山様」として崇められているのは、中興開山大長益善のことで、益善は亡くなるとき「婦人の病は私を信仰すれば必ず治る」と言い残したと言われ、かつては小絵馬を奉納する大勢の参拝客で賑わいました。,0480-92-2678（正傳寺）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shoudenji.html
正福院,白岡町,白岡941,白岡町白岡にある新義真言宗の寺院です。本尊の薬師如来は慈覚大師の作と伝わり、寺伝では嘉祥２年（８４９）慈覚大師の創建で、天台宗から改宗したとされます。境内には太子像も残っています。また、町指定文化財の宝篋印塔、正福院貝塚があるほか、ひぐらしの丘や多くの文学碑が建立されています。,0480-92-4540（正福院）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shoufukuin.htm
常福寺,白岡町,柴山1103,白岡町柴山にある曹洞宗の寺院です。常福寺には、寺の前を流れる見沼代用水の開削にあたった紀州流土木技術者である井沢弥惣兵衛為永の墓石もあります。井沢弥惣兵衛為永ははじめ、紀州徳川家に仕えましたが、徳川吉宗が８代将軍になると同時に、江戸に招かれて旗本となり、勘定吟味役になりました。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/jyoufukuji.htm
白岡八幡神社,白岡町,白岡889,「八幡様」の名で親しまれている白岡八幡宮は、縁起によると８４９年に慈覚大師円仁の草創とされ、八幡太郎義家が奥州征伐の時に戦勝祈願に参拝したとも伝えられています。毎年２月１５日には「だるま市」、３月１５日に境内にある神馬社のお祭り「馬寄せ」が開催されています。また、境内には樹齢推定５００年のカヤの木があります。,0480-92-8259（白岡八幡神社）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shiraokahachimannguu.htm
住吉神社,白岡町,下大崎1340,白岡町下大崎の鎮守で、慶長元年（１５９５）の創建と伝えられています。拝殿の中には、町指定文化財の「六歌仙」をはじめとする貴重な絵馬、掲額が奉納されています。明治時代には、雷電社、天神社、八幡社、琴平社を合祀しました。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/sumiyoshijinnjya.htm
全龍寺,白岡町,下大崎1317,白岡町下大崎にある曹洞宗の寺院で、三ヶ村長龍寺の末寺です。社寺堂庵明細帳によれば、創立は承応元年（１６５２）で元応５年の再興とされています。境内には不動尊のほか、地蔵、観音、庚申塔、記念碑、供養塔などが数基あります。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/zenryuuji.html
大徳寺,白岡町,上野田170,白岡町上野田にある曹洞宗の寺院です。創建は不詳ですが、『大徳寺縁起』によると永正９年（１５１２）に再建して改宗したとあります。本尊は釈迦如来。境内には大日堂（本尊の大日如来座像は町指定文化財）、観音堂があります。,0480-92-1156（大徳寺）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/daitokuji.htm
高岩天満神社,白岡町,＊＊＊,菅原道真公、猿田彦命を祭っている神社です。『風土記稿』には天神社は「村の鎮守、泉蔵院持」とあり、１４２４年に泉蔵院（明治初年廃寺）の住職寂元が菅原道真公の画像を村の鎮守として祠ったことによると伝えられています。町指定文化財の鉄舟が書いた幟の下書ほか、大絵馬、養蚕絵馬、俳諧絵馬など貴重な絵馬も多く残されています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/takaiwatennmannjinnjya.htm
忠恩寺,白岡町,高岩2148,１０５４年に渋江兼重の開基した古刹で、当初は天台宗でしたが、後に浄土宗に改宗されました。岩付太田氏に庇護された寺院で、天文２２年（１５５３）に太田資正から門前の棟別免許状が与えられています。境内の十三仏（じゅうさんぶつ）、九品仏（くほんぶつ）、山門が町の文化財に指定されています。,0480-92-6349（忠恩寺）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/chuuonnji.htm
爪田ヶ谷諏訪神社,白岡町,爪田ヶ谷585,白岡町爪田ヶ谷の鎮守で、『新編武蔵国風土記稿』には「村の鎮守、観音寺の持」とあります。観音寺は観音堂のことであり、社殿は本殿、拝殿からなります。境内には大杉があり、町の天然記念物に指定されています。また、弁天社や多くの記念物が奉納されています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/tumetagayasuwajinnjya.htm
野牛久伊豆神社,白岡町,野牛652,騎西領４８ヶ村の氏神様として信仰の厚かった玉敷神社を勧請したものです。社殿正面に掲げられた扁額は、野牛村の領主新井白石が奉納したものです。「久伊豆」の文字は、１７１１年に来日した朝鮮使節の李邦彦が白石のために書いたものです。境内には御嶽神社、稲荷神社、大主神社、武尊神社、菅原神社、庚供巻神社があります。　,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/yagyuuhisaizujinnjya.htm
篠津観音堂笠地蔵,白岡町,篠津2075番地付近,白岡町には計８８基の地蔵尊が確認されており、一番古いものは１６５６年の作と伝えられています。「篠津観音堂笠地蔵」は、篠津の観音堂入り口に２体向き合って建立されている笠地蔵で、地蔵尊の石仏に笠がついているのは町内でもここだけです。江戸時代に建立され、町の指定文化財になっています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/kasajizou.htm
鎌倉街道,白岡町,＊＊＊,町内には、鎌倉街道と呼ばれる道が２ヶ所伝承されています。１つは高岩の忠恩寺～正伝寺～下野田鷲神社～大徳寺～安楽寺～東伸団地を通って高台橋付近で御成道に合流する道筋。もう１ヶ所は、小久喜の寿楽院付近から西に向かい県道白岡停車場・南新宿線の交差点の信号を蓮田市境を西地区に向かって通じる道筋です。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/kamakurakaidou.htm
皿沼遺跡,白岡町,下大崎地区,昭和５２年に発掘調査が行われ、縄文時代中期～後期の住居跡９軒、古墳時代前期の住居跡２軒などが見つかりました。平成１３年度に２度目の発掘調査が行われ、縄文時代中期の住居跡がさらに４軒見つかり、甲信地方に分布する土器が出土しました。当時すでに広範囲にわたる交易が行われていた証が見られる遺跡です。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/saranumaiseki.htm
柴山伏越,白岡町,柴山,元荒川と見沼代用水の交差地点で、元荒川の川底を見沼代用水が逆サイフォン式で抜け出る構造になっています。この伏越は、享保１２年（１７２７）に井沢弥惣兵衛為永によって「紀州流」という土木技術でおこなわれました。当初、伏越地点では伏越と掛渡井（元荒川の上を樋によって通水する）がおこなわれ、舟運にも利用されていました。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shibayamafusekoshi.htm
筆塚,白岡町,爪田ヶ谷800番地付近,白岡町爪田ヶ谷の観音堂の敷地内に築かれています。筆塚は、もともと書家が廃筆の供養のために築いたもので、書家が寺子屋の師匠になるに及んで教え子達の筆もあわせて埋め、筆の供養をするとともに、師匠を顕彰する意味を持つようになりました。爪田ヶ谷の富沢玄智の筆塚、篠津の大野氏宅の顕彰碑などがあります。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/fudetuka.htm
一里塚,白岡町,下野田,１６０４年、江戸幕府は日本橋を起点に１里（約４キロメートル）ごとに街道の両側に塚を築き、頂上に榎や松の木などを植樹し、旅行者の目印としました。下野田の一里塚は日光御成道に造られたもので、日本橋から１１番目の塚になっています。なお、両側に塚の残る一里塚としては県内唯一で、県指定の史跡となっています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/ichiriduka.htm
高台橋,白岡町,篠津,白岡町篠津にある隼人堀川に架かる橋です。白岡町でも有数の桜の名所として知られており、春になると菜の花や桜、花桃などが満開になり、毎年シーズンになると、写真を撮る方やスケッチをする人等、たくさんの人で賑わいます。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/takadaibashi.htm
ふれあいロード,白岡町,黒沼用水沿い,「水と緑のふれあいロード」は騎西領用水や中島用水、黒沼用水などの水路沿いにつくられた自転車・歩行者専用道路です。騎西領・中須用水コースと中島・黒沼・豊春用水コースの２つがあり、白岡町には両コースが通っています。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/fureairoodo.htm
下小笠原遺跡　ふるさとの森,白岡町,彦兵衛108,この森は彦兵衛下小笠原遺跡の一部に位置し、同遺跡の西縁が上小笠原遺跡と接しており、二遺跡に囲まれた樹齢約１００年のけやきのある樹林です。ふるさとの森に隣接する田んぼは、例年春になると淡いピンクのレンゲで覆われます。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/furumori.html
高岩公園,白岡町,新白岡３丁目４３,樹木で覆われた、広々とした芝生広場や遊具がある都市型公園です。様々な遊具や健康器具も設置されています。隣接して勤労者体育センターや町民テニスコートなどの公共施設もあります。また、秋口になると公園の周りが紅葉で色づきます。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/takaiwakouen.htm
白岡町総合運動公園,白岡町,千駄野345,平成９年に千駄野にオープンした運動公園です。陸上競技場、サッカー場、野球場、多目的広場、ナイター照明付きテニスコート、ゲートボール場、ジョギングコース、アスレチック広場などを備えた総合スポーツ施設で、多くの方々に親しまれています。,0480-93-3426（公園管理事務所）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/sougouunndoukouen.htm
ふれあいの森公園,白岡町,小久喜,白岡町役場に隣接する公園で、多目的広場やサイクリング・散歩コース・バーベキュー施設など家族で楽しめる公園です。バーベキューはかまどや水道が完備されています。春には、園内に植えられた桜（ソメイヨシノ）約１００本がきれいに咲き、多くの観光客で賑わいます。,0480-92-8151（白岡町観光協会）,常時開放,なし,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/fureainomorikouen.htm
大山民俗資料館,白岡町,荒井新田342,白岡町の民俗・歴史資料・考古資料約５００点を展示・公開されています。畑作・稲作・梨に関する「生産用具展示コーナー」、衣生活・生活・住まいに関する「民具生活用具展示コーナー」、土器・石器等に関する「皿沼遺跡出土品展示コーナー」の３つのコーナーに分けて展示されており、特に特産の「梨」に関する生産用具は貴重です。,0480-92-8151（白岡町観光協会）,９：００～１６：００,月、火、水、金、土曜日※日曜・木曜と文化の日・子供の日のみ開館しています。,無料,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/ooyamaminzonku.html
獅子博物館　,白岡町,小久喜1262-8,獅子舞に関する獅子頭や衣装の実物、獅子の模型、全国各地のビデオ映像、郷土玩具など獅子に関連する資料を集めた私立博物館です。　,0480-92-9105（獅子博物館）※見学の際には事前に電話をして下さい,事前にお問い合わせ下さい。,事前にお問い合わせ下さい。,＊＊＊,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/shishihakubutukan.htm
ふれあいハウス,白岡町,柴山1451,柴山沼近くに平成３年に竣工したＪＡ南彩の農産物直売所です。地元の新鮮な野菜を販売しています。また、白岡町は埼玉県内でも有数の梨の生産地として知られており、白岡産の梨は「白岡美人」の愛称で親しまれています。白岡美人を加工したアイスクリームなどの商品も販売しています。　,0480-97-0434（ＪＡ南彩白岡直売所）,９：００～１７：００,毎週月曜日,＊＊＊,http://www13.ocn.ne.jp/~shiraoka/meishoannnai/fureaihouse.htm
三学院,蕨市,北町3-2,創立年代は不明ですが、本尊の木造十一面観音菩薩立像が平安時代後期の作であることや、他に現存する資料から中世以前の創建と考えられています。また、市の文化財に指定されている同院敷地内にある和光幼稚園の庭に生育しています。根回り約３．５ｍ、幹回り約３．５ｍ、棚面積約３９５平方メートルの大きな藤で、５月に見ごろを迎えます。,048-433-7750（蕨市役所/商工生活室）,日中※藤は花の見頃の季節のみ公開しています,なし,無料,http://www.city.warabi.saitama.jp/hp/page000001400/hpg000001372.htm
蕨城跡,蕨市,中央4-21,蕨城は南北朝時代に渋川氏が館を構えたことに始まり、１５６７年の三舟山合戦での渋川氏の戦死にともない廃されたと言われています。江戸時代の始めには、徳川将軍家の鷹狩用の休憩地の「御殿（ごてん）」として、蕨城の跡地が利用されました。現在は、緑豊かな「蕨城址公園」として整備され、市民の憩いの場となっています。,048-433-7750（蕨市役所商工生活室）,なし,なし,無料,http://www.city.warabi.saitama.jp/hp/page000001400/hpg000001357.htm
和楽備神社,蕨市,中央4-20,和楽備神社の名称は１９１１年に蕨町内にあった１８の鎮守社を合祀した際に名付けられました。合祀以前は、「上の宮」と呼ばれた「八幡社」が鎮座し、蕨を所領とした渋川氏が蕨城の守護神として勧請したと伝えられています。１２月１７日には「酉の市」が行なわれ、縁起物の熊手を売る店が立ち並び、多くの人々で賑わいます。,048-431-2549（和楽備神社）,＜社殿祈願＞９：３０～１５：３０,なし,無料,http://www.warabi.ne.jp/~jinja/
田山花袋歌碑,蕨市,中央3-22,「田舎教師」の著者・田山花袋作「東京の近郊」の中で、《「山は皆夜になりゆく大空に富士がねのみぞ暮れのこりける」これは私がある初冬の薄暮に、東北から来て、暮色の中に黒く残った富士を望んで、そして詠んだ歌であった。丁度汽車が蕨駅を通ってゐる頃であった。》と記しています。それを記念して、蕨中央公園に歌碑が建っています。,048-433-7750（蕨市役所/商工生活室）,常時開放,なし,無料,＊＊＊
河鍋暁斎記念美術館,蕨市,南町4-36-4,河鍋暁斎は幕末から明治にかけて活躍した狩野派の人気絵師で、道釈人物画から浮世絵版画、戯画・風刺画まで幅広い作品を描きました。暁斎の曾孫にあたる河鍋楠美氏が自宅を改装して開館したもので、同館では肉筆、版画などの完成作品のほか、下絵、画稿など多数所蔵し、常時４０点ほど展示しています。,048-441-9780,１０：００～１６：００,木曜日（祝祭日は開館）と毎月２６日～末日・年末年始,＜通常（特別展時）＞一般３００円（５００円）中学生～大学生２００円（４００円）小学生以下１００円（２００円）,http://www2.ocn.ne.jp/~kkkb/
蕨本陣跡,蕨市,中央5-17,蕨宿の本陣は、加兵衛家と五郎兵衛家の２家が代々勤め、蕨宿の中央部に向かい合うようにして建っていました。加兵衛本陣には、老中水野忠邦や松平加賀守、皇女和宮（かずのみや）などが休泊し、１８６８と１８７０には明治天皇も大宮氷川神社行幸の途中に休憩しています。,048-433-7750（蕨市役所/商工生活室）,常時開放,なし,無料,＊＊＊
中仙道武州蕨宿宿場まつり,蕨市,北町・中央　中山道（北町交番～中央ポケットパーク）,歴史的風情のある中仙道蕨宿を舞台に、手づくりの工夫を凝らした催し物が行われる、市民参加のお祭りです。大名行列や各種パレードは、毎年大いに盛り上がります。沿道には、屋台やフリーマーケット、バザーなどが立ち並び、お買い物も楽しめます。その他、ジャズバンドによる演奏や、お楽しみアトラクションなど見どころ盛りだくさんです。,048-433-7750（蕨市役所/商工生活室）,１１月３日（文化の日）１０：００～１９：００,-,-,http://www.city.warabi.saitama.jp/hp/page000005000/hpg000004958.htm
わらび機まつり,蕨市,中央,毎年８月に開催されるお祭りで、西口駅前通り・桜橋通りが会場になり、鮮やかな七夕飾りでうめつくされ、数多くの出店が立ち並びます。目も舌も満足させてくれるおまつりです。七夕装飾コンクール、よさこいソーラン踊りなど、たくさんのイベントも開催されます。,048-433-7750（蕨市役所商工生活室）,毎年８月第１土日を含む４日間１３：３０～２１：３０,-,-,http://www.city.warabi.saitama.jp/hp/page000004100/hpg000004093.htm
蕨市立歴史民俗資料館,蕨市,中央5-17-22,常設展では、蕨の歴史的特色である宿場と織物に関する情報を中心に展示しており、期間限定の特別展も時折開催しています。庭園では、四季を通じて美しい花々をお楽しみ頂けます。３月から４月にかけて関東では珍しい「白いタンポポ」が自生します。,048-432-2477,９：００～１６：３０,・月曜日（月曜日が休日の場合は火曜日も休館）・国民の祝日（４月２９日、１１月３日を除く）・年末年始（１２月２９日～１月３日） ,無料,http://www.city.warabi.saitama.jp/hp/menu000000200/hpg000000120.htm
宮代町郷土資料館,宮代町,西原289番地,年間を通じて企画展や講座などを実施しています。屋外には、町指定文化財の旧加藤家住宅や旧斉藤家住宅など複数の歴史的建造物があり、本館の展示とあわせて、宮代町の歴史を身近に感じることができます。また、常設展示室内に「郷土の偉人／島村盛助」コーナーが新設され、好評を得ています。,0480-34-8882（郷土資料館）,９：３０～１６：３０,・月曜日（祝日の場合は開館）・祝日直後の平日・年末年始（１２月２８日～１月４日まで）・館内整理日,無料,http://www.town.miyashiro.saitama.jp/WWW/wwwpr.nsf/siryoukan
外野橋,幸手市,大字権現堂地内,外野橋の構造的な特徴は、斜め吊材を採用した２径間連続自破式吊橋であることです。斜め吊材を使用した吊橋は、優れた構造特性と美観を合わせ持っており、世界に４橋しかない珍しい吊り橋で、幸手市のランドマークとなる美しい吊り橋です。桜まつり期間中はライトアップを行う予定となっています。,0480-43-1111（幸手市役所）,＊＊＊,無休,無料,http://www.satte-k.com/kanko/hasi/index.html
ハッピーハンド,幸手市,東４丁目６番８号,幸手市は「幸せの手」と表記することから、「幸せの手（ハッピーハンド）」を街づくりのキーワードとしています。社団法人幸手青年会議所では、毎年その年に日本一幸せだった人を市民投票で選び、その方に手形をモニュメントにして市役所に展示する、ハッピーハンド事業を実施しており、それを記念する広場となっています。,0480-43-1111（幸手市役所）,＊＊＊,＊＊＊,無料,http://www.satte-k.com/kanko/happy/index.html
幸手義賑窮餓之碑,幸手市,北１丁目１０番３号（正福寺）,義賑窮餓之碑（ぎしんきゅうがのひ）は正福寺の境内にあります。天明３年（１７８３）浅間山の大噴火により冷害と大飢饉が発生し、幸手宿の農村も難民が続出しました。その際、幸手宿の義人２１名が米や金を出し合い幸手の民を救いました。この善行を讃え、碑を建てたそうです。今では善行活動の始まりと言われています。,0480-43-1111（幸手市役所）,＊＊＊,＊＊＊,＊＊＊,http://www.satte-k.com/kanko/gisin/index.html
聖福寺勅使門,幸手市,北１丁目９番２７号,江戸時代には将軍の日光社参の折りと、東照宮例大祭に天皇の代理で参拝した例幣使の帰路の休憩所に用いられ、山門は唐破風四脚門で将軍と例幣使以外は通行できなかったとされています。阿弥陀如来を本尊とし、運慶の作と伝えられる観音菩薩像が祀られ、境内には漢学者金子竹香の碑などが建てられています。,0480-43-1111（幸手市役所）,＊＊＊,＊＊＊,＊＊＊,http://www.satte-k.com/kanko/tyokusi/index.html
将門の首塚,幸手市,大字神明内１４６９（浄誓寺）,浄誓寺には高さ３ｍ程の塚があり、頂に風化した五輪塔が立っています。ここに天慶の乱（９４０）に敗れた将門の首が埋められているといわれています。また付近には、将門の血が赤く木を染めたことからつけられたという赤木（あかぎ）という地名も残っています。,0480-43-1111（幸手市役所）,＊＊＊,＊＊＊,＊＊＊,http://www.satte-k.com/kanko/kubituka/index.html
地場物産館「桜国屋」,北本市,深井7-265-4,地場物産館「桜国屋」では、地元で生産された新鮮で安心な農産物と北本ならではの自慢の逸品やお土産を取り扱っています。プチトマトを一つ使った「トマト大福」や「トマトうどん」が有名で、多くの観光客で賑わっています。,048-544-5321,＜３月～１１月＞１０:００～１８:００＜１２月～２月＞１０：００～１７:３０,毎週水曜日,-,http://www.tcat.ne.jp/~oukokuya/index.html
高尾･宮岡の景観地（緑のトラスト8号地）,北本市,高尾8丁目,複雑な地形・谷津・斜面林が残っている北本を代表する里山で、四季折々の豊かな自然環境が楽しめます。また、谷の最奥には氷川神社・厳島神社・須賀神社と三つの社が隣り合わせ、厳かで歴史的な雰囲気を漂わせています。春にはカタクリ、初夏にはミクリも開花します。,048-594-5574（北本市役所/みどり環境課）,-,-,無料,http://www.city.kitamoto.saitama.jp/kurashi/gomi/trust.htm
埼玉県立歴史と民俗の博物館,さいたま市,さいたま市大宮区高鼻町4-219,平成１８年に、それまでの埼玉県立博物館と埼玉県立民俗文化センターが統合されて新しくオープンした歴史・民俗・美術を総合的にあつかう人文系総合博物館です。歴史・民俗・美術の三つの展示室で構成された常設展示室、年に数回開催される特別展と企画展、様々な体験学習メニューを用意した体験施設「ゆめ・体験ひろば」があり、講座や体験学習も盛んに行っています。,048-645-8171,９：００～１６：３０（入館は１６：００まで）＜７月・８月＞９：００～１７：００（入館は１６：３０まで）,月曜日（祝日・県民の日を除く）,常設展：一般300円（200円）、高校生・学生150円（100円）中学生以下と65歳以上、障害者手帳をお持ちの方は無料。※1（　）は20人以上の団体※2特別展・企画展はそのつど料金を定めます,http://www.saitama-rekimin.spec.ed.jp/
真福寺,北本市,本町７-１２６-１,地元では「大師様」の名で親しまれています。１７４２年に輪王寺宮一品法親王（りんのうじのみやいっぽんほうしんのう）から寄贈されたといわれている慈恵大師良源（じえだいしりょうげん）の画像（絹本着色）が寺に残されています。１月３日、２月３日に「だるま市」が開かれ、初詣や厄除け祈願の人で賑わいます。,048-591-2910,＊＊＊,＊＊＊,＊＊＊,＊＊＊
北本総合公園,北本市,古市場１－１６７,スポーツ・レクリエーション活動の拠点施設で、テニスコート・野球場・多目的広場を備えています。その他にも遊具広場や調整池などがあり、家族連れで遊びに来ている方や釣りに来ている方もいます。また、テニススクールの開催や体験教室・講習会なども行っています。毎年１０月末から１１月上旬にかけて「きくまつり」を行っています。,048-592-4050（北本総合公園管理事務所）,８:００～１９:００,第４月曜日（祝日の場合は翌日）、年末年始,＜テニスコート＞１面/１時間２５０円＜多目的広場＞全面/１時間１０００円、半面/１時間５００円（照明料別途）＜野球場＞１時間１５００円（照明料別途）※市外の方の加算措置あり,http://www.kitamoto-sogokoen.com/
阿弥陀堂エドヒガンザクラ,北本市,高尾6-366　（阿弥陀堂境内）,樹齢約２００年の北本市指定天然記念物の桜です。３月下旬に鮮やかなピンクの花を咲かせます。また、桜の名所として有名な「高尾さくら公園」に隣接しており、公園には各種の桜の木が植樹されており、春には多くの観光客で賑わいます。,048-594-5566（生涯学習課）,常時開放,なし,無料,＊＊＊
多聞寺とムクロジ,北本市,本宿2-37,境内には県の天然記念物であるムクロジがあります。樹齢は２００年～３００年と推定されており、６月頃に淡い緑色で五弁の小さな花が咲きます。幹回り４ｍ、根回り７．８ｍ、高さ２７ｍという巨木です。,048-592-9019,＊＊＊,＊＊＊,無料,＊＊＊
本宿天神社,北本市,本宿２丁目８,天満天神こと菅原道真公が祭神です。学問の神様といわれ、湯島天神にならって絵馬が売られています。毎年７月２４，２５日に例大祭を開催しており、多くの観光客で賑わいをみせています。,048-591-5404,＊＊＊,＊＊＊,＊＊＊,＊＊＊
浅間神社,北本市,東間1-6,中山道沿いにある浅間神社では富士山を神様として祀っていることから、人の手で築いた山の上にあります。６月３０日と７月１日は例大祭が行われ、初山まいりのお宮として賑わいます。,048-591-5911,＊＊＊,＊＊＊,＊＊＊,＊＊＊
東光寺,北本市,石戸宿3-118,川越東明寺の末寺で、「新編武蔵風土記稿」には阿弥陀堂と記されています。伝説では源範頼の開基（一説には石戸左衛門尉）と伝えられ、全国で４番目に古い貞永２年（１２３３年）銘の阿弥陀三尊種子板石塔婆などの中世石造物が多くあります。また、境内とその周辺は、鎌倉期の館跡（堀之内館）と考えられています。,048-594-5566（生涯学習課）,＊＊＊,＊＊＊,＊＊＊,＊＊＊
キヤッセ羽生,羽生市,三田ヶ谷1725,麦芽１００％で造る地ビール工房、地元の新鮮な食材を使用したレストランなど羽生の恵みを堪能頂けます。また、野菜の収穫体験や、いがまんじゅう、うどんやそばなどの体験教室も開催しています。※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,048-565-5255,公園　１０：００～１７：００むじな庵　１１：００～１５：００（通常は土日祝日のみ営業）,月曜日（月曜日が祝日の場合翌日）,無料,＊＊＊
道の駅　はにゅう,羽生市,上新郷7066,新鮮な野菜や特産品、地酒等の販売を行っています。隣接する利根川の河川敷では、毎年５月には埼玉県内唯一の気球の大会等を行う「スカイフェスタ羽生」が開催されます。また、利根川と日光連山を見渡すことができ、夕刻にはこれらの大自然が赤く染まる風景は圧倒されます。,048-560-1010,８：００～２０：００,年中無休,-,http://www.ktr.mlit.go.jp/honkyoku/road/eki/station/sai_hanyu/index.html
ＪＡほくさい羽生農産物直売所,羽生市,東7-15-3,農家朝採り新鮮野菜をメインに８月から１０月にかけては羽生産の梨・幸水、豊水、新高の販売やつきたてのお米、羽生産コシヒカリ、キヌヒカリ及び北埼玉産米数品種を取り扱っています。また、４月には苗木市　、１１月には農業祭が開催されます。,048-563-4609,平日９：３０～１７：３０　土日祝日　９：３０～１７：３０　,水曜日,＊＊＊,http://www.jahokusai.jp/tyokubaijyo/tyokubaijyo.html
田舎教師像,羽生市,三田ヶ谷,弥勒高等小学校跡地にある田山花袋の小説「田舎教師」の主人公・小林秀三の等身大ブロンズ像です。羽織袴に鳥打帽子をかぶり、風呂敷の包みを持ち正面を見すえ立っています。秀三は中学校卒業後、三田ヶ谷村の弥勒高等小学校の准教員として教鞭をとりました。,048-560-3111（羽生市観光協会）,＊＊＊,＊＊＊,＊＊＊,＊＊＊
